audit_tags,code,expire_date,fill_reason,order_id,parameter_set_id,setup_id,signal_date,status,tail_path
[],603486,2025-08-15,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-afc1c861f2ee331d103f,s6ps-302e3a382d956a99,s6setup-47bc24e67bfced45806f,2025-08-12,CANCELLED,ORIGINAL
[],603486,2025-08-18,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-4ae9e3e2b060d3a13107,s6ps-302e3a382d956a99,s6setup-7cb2740adf4186f9bc90,2025-08-13,CANCELLED,ORIGINAL
[],603486,2025-08-21,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-75c022298f924ff1473f,s6ps-302e3a382d956a99,s6setup-470f43d1726fab973716,2025-08-18,CANCELLED,ORIGINAL
[],603501,2025-03-12,FILLED_FROZEN_PLAN,s6order-b5f3acc27261c4219725,s6ps-302e3a382d956a99,s6setup-0b555cec13fe91beb6ed,2025-03-07,FILLED,ORIGINAL
[],603678,2025-04-09,CANCEL_OPEN_BELOW_BUY_ZONE,s6order-b80d83ede3290dbbd9fc,s6ps-302e3a382d956a99,s6setup-0707341a6311eb0bf27a,2025-04-03,CANCELLED,BOTH
[],603799,2025-10-30,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-03e36837b85447fac425,s6ps-302e3a382d956a99,s6setup-f4a73e8daf7c760d46ae,2025-10-27,CANCELLED,ORIGINAL
[],603915,2025-03-14,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-d80c6a4151aec4300af5,s6ps-302e3a382d956a99,s6setup-8fc91de2db375d7df05d,2025-03-11,CANCELLED,ORIGINAL
[],603993,2025-08-15,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-a7c774cb7e5ca3da6522,s6ps-302e3a382d956a99,s6setup-b480475ca9ae290a0c96,2025-08-12,CANCELLED,ORIGINAL
[],605499,2025-04-29,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-6d4940bd885ea66582b8,s6ps-302e3a382d956a99,s6setup-1e6fb867e4a661eb38f0,2025-04-24,CANCELLED,ORIGINAL
[],688017,2025-10-09,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-4466938918b20edaef33,s6ps-302e3a382d956a99,s6setup-189ea6a6729a40bd49bb,2025-09-26,CANCELLED,ORIGINAL
