evaluation_date,code,name,setup_id,candidate_type,candidate_event_id,candidate_event_sequence,first_candidate_date,first_executable_date,is_first_candidate_event,is_first_executable_event,entry_archetype
2024-11-13,603893,瑞芯微,s6setup-a63db8c9eb7d11d047d3,KEY_CANDIDATE,s6event-e8e2c08883a4e9b3aadb,6,2024-11-06,2024-11-08,False,False,SUPPORT_PULLBACK
2024-11-14,000829,天音控股,s6setup-085cfe806f3931768d77,KEY_CANDIDATE,s6event-e833f826186a061d7954,1,2024-11-14,2024-11-14,True,True,SUPPORT_PULLBACK
2024-11-14,300256,星星科技,s6setup-f5234fdcb28fc48d4666,WATCH_CANDIDATE,s6event-ca2834b6bec5f4aa58aa,1,2024-11-14,,True,False,NONE
2024-11-14,600843,上工申贝,s6setup-85db4a2ab7750e044af3,KEY_CANDIDATE,s6event-ac4622bd39b6183386ea,1,2024-11-14,2024-11-14,True,True,SUPPORT_PULLBACK
2024-11-15,000829,天音控股,s6setup-085cfe806f3931768d77,KEY_CANDIDATE,s6event-e833f826186a061d7954,2,2024-11-14,2024-11-14,False,False,SUPPORT_PULLBACK
2024-11-15,300256,星星科技,s6setup-f5234fdcb28fc48d4666,WATCH_CANDIDATE,s6event-ca2834b6bec5f4aa58aa,2,2024-11-14,,False,False,NONE
2024-11-15,300322,硕贝德,s6setup-3e5c7024c90b1574be62,WATCH_CANDIDATE,s6event-6d2bb6c02e9fde1aa6a0,1,2024-11-15,,True,False,NONE
2024-11-15,300776,帝尔激光,s6setup-c76fc897bc2b7cd6f146,KEY_CANDIDATE,s6event-cf4328f2cab914cc501f,1,2024-11-15,2024-11-15,True,True,SUPPORT_PULLBACK
2024-11-18,002281,光迅科技,s6setup-b8d2a449d0045b5a5ce1,WATCH_CANDIDATE,s6event-060a9ace70fcc7fa9928,1,2024-11-18,2024-11-18,True,True,SUPPORT_PULLBACK
2024-11-18,300776,帝尔激光,s6setup-8c07e4dcf09a7e8c17bc,KEY_CANDIDATE,s6event-cf4328f2cab914cc501f,2,2024-11-15,2024-11-15,False,False,SUPPORT_PULLBACK
2024-11-19,002273,水晶光电,s6setup-5be11763ef3d6bd00c66,WATCH_CANDIDATE,s6event-e5f061fa741c93e4e351,1,2024-11-19,,True,False,NONE
2024-11-19,002281,光迅科技,s6setup-b8d2a449d0045b5a5ce1,KEY_CANDIDATE,s6event-060a9ace70fcc7fa9928,2,2024-11-18,2024-11-18,False,False,SUPPORT_PULLBACK
2024-11-19,300059,东方财富,s6setup-f33f2ffc7cab91125159,WATCH_CANDIDATE,s6event-02c8f8adf967ca8e97ef,1,2024-11-19,2024-11-19,True,True,SUPPORT_PULLBACK
2024-11-19,600879,航天电子,s6setup-9543c99369764b5ccdd8,WATCH_CANDIDATE,s6event-59d981c25ba6c9e7261a,1,2024-11-19,2024-11-19,True,True,SUPPORT_PULLBACK
2024-11-19,603920,世运电路,s6setup-d587b9f81f181660d2f5,WATCH_CANDIDATE,s6event-40ebcbaf0797fa9c62fa,1,2024-11-19,,True,False,NONE
2024-11-20,002273,水晶光电,s6setup-5be11763ef3d6bd00c66,WATCH_CANDIDATE,s6event-e5f061fa741c93e4e351,2,2024-11-19,2024-11-20,False,True,SUPPORT_PULLBACK
2024-11-20,002281,光迅科技,s6setup-e1af045107ab081f5b6e,KEY_CANDIDATE,s6event-060a9ace70fcc7fa9928,3,2024-11-18,2024-11-18,False,False,SUPPORT_PULLBACK
2024-11-20,300059,东方财富,s6setup-f33f2ffc7cab91125159,WATCH_CANDIDATE,s6event-02c8f8adf967ca8e97ef,2,2024-11-19,2024-11-19,False,False,SUPPORT_PULLBACK
2024-11-20,603920,世运电路,s6setup-d587b9f81f181660d2f5,WATCH_CANDIDATE,s6event-40ebcbaf0797fa9c62fa,2,2024-11-19,,False,False,NONE
2024-11-20,688015,交控科技,s6setup-379b47d4a8f9a2b84d9b,WATCH_CANDIDATE,s6event-dd14f44988f6dcbe85de,1,2024-11-20,,True,False,NONE
2024-11-20,688256,寒武纪,s6setup-8a4e7f4aa3a11b6e31f8,WATCH_CANDIDATE,s6event-095fbda3e15f22cf6d59,1,2024-11-20,,True,False,NONE
2024-11-21,002273,水晶光电,s6setup-52ee156bbd13078c93bf,WATCH_CANDIDATE,s6event-e5f061fa741c93e4e351,3,2024-11-19,2024-11-20,False,False,SUPPORT_PULLBACK
2024-11-21,002281,光迅科技,s6setup-245f99defd9d51049930,KEY_CANDIDATE,s6event-060a9ace70fcc7fa9928,4,2024-11-18,2024-11-18,False,False,SUPPORT_PULLBACK
2024-11-21,603920,世运电路,s6setup-d587b9f81f181660d2f5,WATCH_CANDIDATE,s6event-40ebcbaf0797fa9c62fa,3,2024-11-19,2024-11-21,False,True,SUPPORT_PULLBACK
